KOR Export File

File Created:21.02.2017 19:16:04

Sonde ID	Sonde01
User ID	Moritz
Site	Deployment Site
Template	Sonde01
Time Zone	(UTC+02:00) Amman

Devices List:		
Name	SN	Firmware	Corresponding Data Column(s)
Data Collection Device			1;2;3;4;5
EXO2 Sonde	15D102264	1.0.12	6;7
Optical DO	15D102219	3.0.0	8;9
pH	15E101246	3.0.0	10;11
fDOM	15D102803	3.0.0	12;13
Total Algae BGA-PC	15D102570	3.0.0	14;15;16;17
Conductivity/Temp	15E101955	3.0.0	18;19;20;21;22;23
Wiper	15D102597	3.0.0	
Depth Non-Vented 0-100m	15C104794	3.0.0	24;25

1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
Date (MM/DD/YYYY)	Time (HH:MM:SS)	Time (Fract. Sec)	Site Name	Fault Code	Battery V	Cable Pwr V	ODO % sat	ODO mg/L	pH	pH mV	fDOM RFU	fDOM QSU	Chlorophyll RFU	Chlorophyll µg/L	BGA-PC RFU	BGA-PC µg/L	Temp °C	Cond µS/cm	SpCond µS/cm	Sal psu	nLF Cond µS/cm	TDS mg/L	Press psi a	Depth m	
01/27/2017	22:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.390000	9.820000	-172.800000	-0.110000	-0.330000	2.510000	10.020000	-0.080000	-0.080000	3.866000	116.900000	196.000000	0.090000	198.500000	127.000000	0.787000	0.553000	
01/27/2017	22:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.390000	9.820000	-172.900000	-0.110000	-0.330000	2.520000	10.080000	-0.080000	-0.080000	3.868000	119.000000	199.500000	0.090000	202.100000	130.000000	0.787000	0.554000	
01/27/2017	22:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.900000	16.420000	9.810000	-172.700000	-0.120000	-0.350000	2.660000	10.630000	-0.070000	-0.070000	3.870000	118.700000	199.000000	0.090000	201.600000	129.000000	0.786000	0.553000	
01/27/2017	23:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.390000	9.820000	-172.900000	-0.110000	-0.340000	2.550000	10.190000	-0.080000	-0.080000	3.868000	117.400000	196.800000	0.090000	199.400000	128.000000	0.786000	0.552000	
01/27/2017	23:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.390000	9.810000	-172.500000	-0.130000	-0.380000	2.700000	10.780000	-0.060000	-0.060000	3.868000	118.600000	198.800000	0.090000	201.400000	129.000000	0.784000	0.551000	
01/27/2017	23:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.400000	9.810000	-172.400000	-0.100000	-0.300000	2.510000	10.030000	-0.090000	-0.090000	3.862000	117.000000	196.200000	0.090000	198.800000	128.000000	0.781000	0.549000	
01/27/2017	23:45:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.700000	16.390000	9.810000	-172.700000	-0.120000	-0.370000	2.510000	10.040000	-0.080000	-0.080000	3.863000	116.100000	194.700000	0.090000	197.300000	127.000000	0.783000	0.550000	
01/28/2017	00:00:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.400000	16.350000	9.810000	-172.500000	-0.130000	-0.380000	2.440000	9.760000	-0.080000	-0.080000	3.861000	117.600000	197.200000	0.090000	199.800000	128.000000	0.782000	0.550000	
01/28/2017	00:15:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.900000	16.430000	9.810000	-172.700000	-0.120000	-0.360000	2.510000	10.030000	-0.070000	-0.070000	3.859000	119.300000	200.100000	0.090000	202.600000	130.000000	0.784000	0.551000	
01/28/2017	00:30:00	0.000	Deployment Site	00000000	6.000000	11.700000	124.800000	16.410000	9.820000	-173.000000	-0.110000	-0.320000	2.560000	10.260000	-0.100000	-0.100000	3.859000	116.400000	195.200000	0.090000	197.700000	127.000000	0.788000	0.554000	
