KOR Export File

File Created:26/06/2018 11:25:29

Sonde ID	Sonde20
User ID	Moritz
Site	Deployment Site
Template	Sonde20
Time Zone	(UTC+01:00) Brussels. Copenhagen. Madrid. Paris

Devices List:		
Name	SN	Firmware	Corresponding Data Column(s)
Data Collection Device			1;2;3;4;5
EXO2 Sonde	16M100125	1.0.18	6;7
Optical DO	16L103894	3.0.0	8;9
pH	16L104233	3.0.0	10;11
fDOM	16L101038	3.0.0	12;13
Total Algae BGA-PC	16L103551	3.0.0	14;15;16;17
Conductivity/Temp	16L102032	3.0.5	18;19;20;21;22;23
Wiper	16L103865	3.0.0	

1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
Date (MM/DD/YYYY)	Time (HH:MM:SS)	Time (Fract. Sec)	Site Name	Fault Code	Battery V	Cable Pwr V	ODO % sat	ODO mg/L	pH	pH mV	fDOM RFU	fDOM QSU	Chlorophyll RFU	Chlorophyll µg/L	BGA-PC RFU	BGA-PC µg/L	Temp °C	Cond µS/cm	SpCond µS/cm	Sal psu	nLF Cond µS/cm	TDS mg/L	
12/19/2017	22:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.000000	12.450000	8.550000	-106.400000	0.250000	0.740000	0.960000	3.850000	-0.080000	-0.080000	4.786000	95.700000	155.900000	0.070000	158.100000	101.000000	
12/19/2017	22:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.900000	12.440000	8.560000	-106.600000	0.260000	0.770000	0.930000	3.730000	-0.110000	-0.110000	4.782000	96.400000	157.100000	0.070000	159.300000	102.000000	
12/19/2017	22:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	97.000000	12.450000	8.560000	-106.600000	0.270000	0.800000	0.870000	3.480000	-0.080000	-0.080000	4.776000	94.700000	154.300000	0.070000	156.500000	100.000000	
12/19/2017	23:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.430000	8.560000	-106.500000	0.250000	0.760000	1.150000	4.590000	-0.090000	-0.090000	4.772000	92.900000	151.500000	0.070000	153.600000	98.000000	
12/19/2017	23:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.430000	8.550000	-106.300000	0.270000	0.800000	1.400000	5.600000	-0.070000	-0.070000	4.769000	97.300000	158.500000	0.070000	160.800000	103.000000	
12/19/2017	23:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.430000	8.530000	-105.300000	0.260000	0.770000	0.990000	3.960000	-0.080000	-0.080000	4.763000	97.500000	159.000000	0.080000	161.200000	103.000000	
12/19/2017	23:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.440000	8.550000	-106.000000	0.250000	0.750000	0.960000	3.820000	-0.100000	-0.100000	4.762000	96.400000	157.200000	0.070000	159.500000	102.000000	
12/20/2017	00:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.440000	8.540000	-105.700000	0.270000	0.820000	1.130000	4.520000	-0.100000	-0.100000	4.760000	96.300000	157.000000	0.070000	159.300000	102.000000	
12/20/2017	00:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.420000	8.540000	-105.600000	0.260000	0.780000	1.040000	4.160000	-0.080000	-0.080000	4.759000	90.200000	147.100000	0.070000	149.200000	96.000000	
12/20/2017	00:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.420000	8.550000	-105.900000	0.260000	0.780000	1.040000	4.140000	-0.110000	-0.110000	4.759000	96.100000	156.700000	0.070000	159.000000	102.000000	
12/20/2017	00:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.900000	12.440000	8.550000	-106.000000	0.260000	0.780000	1.080000	4.320000	-0.080000	-0.080000	4.761000	96.400000	157.100000	0.070000	159.300000	102.000000	
12/20/2017	01:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.420000	8.540000	-105.800000	0.250000	0.760000	0.960000	3.840000	-0.120000	-0.120000	4.759000	91.300000	148.800000	0.070000	151.000000	97.000000	
12/20/2017	01:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.900000	12.440000	8.530000	-105.200000	0.270000	0.820000	1.220000	4.880000	-0.020000	-0.020000	4.756000	102.400000	167.000000	0.080000	169.400000	109.000000	
12/20/2017	01:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.900000	12.450000	8.560000	-106.600000	0.250000	0.760000	1.190000	4.770000	-0.030000	-0.030000	4.751000	96.700000	157.700000	0.070000	159.900000	102.000000	
12/20/2017	01:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.430000	8.560000	-106.600000	0.270000	0.810000	1.260000	5.030000	-0.080000	-0.080000	4.750000	96.400000	157.100000	0.070000	159.400000	102.000000	
12/20/2017	02:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.440000	8.540000	-105.700000	0.280000	0.830000	1.120000	4.480000	-0.080000	-0.080000	4.749000	96.200000	156.900000	0.070000	159.100000	102.000000	
12/20/2017	02:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.440000	8.550000	-106.400000	0.260000	0.770000	1.110000	4.430000	-0.060000	-0.060000	4.744000	96.500000	157.500000	0.070000	159.700000	102.000000	
12/20/2017	02:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.440000	8.550000	-106.200000	0.260000	0.770000	0.990000	3.970000	-0.100000	-0.100000	4.741000	99.400000	162.200000	0.080000	164.500000	105.000000	
12/20/2017	02:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.430000	8.550000	-106.400000	0.270000	0.800000	0.920000	3.690000	-0.090000	-0.090000	4.740000	96.100000	156.800000	0.070000	159.000000	102.000000	
12/20/2017	03:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.800000	12.440000	8.550000	-105.900000	0.270000	0.810000	1.300000	5.190000	-0.050000	-0.050000	4.736000	96.500000	157.400000	0.070000	159.600000	102.000000	
12/20/2017	03:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.430000	8.540000	-105.700000	0.250000	0.750000	1.010000	4.040000	-0.100000	-0.100000	4.730000	95.500000	155.800000	0.070000	158.000000	101.000000	
12/20/2017	03:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.440000	8.550000	-105.900000	0.250000	0.750000	1.250000	5.010000	-0.060000	-0.060000	4.733000	93.600000	152.700000	0.070000	154.900000	99.000000	
12/20/2017	03:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.500000	12.400000	8.550000	-106.100000	0.260000	0.770000	0.900000	3.620000	-0.110000	-0.110000	4.734000	96.400000	157.300000	0.070000	159.600000	102.000000	
12/20/2017	04:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.600000	12.420000	8.560000	-106.400000	0.270000	0.810000	1.420000	5.660000	-0.090000	-0.090000	4.735000	92.700000	151.300000	0.070000	153.500000	98.000000	
12/20/2017	04:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.500000	12.410000	8.540000	-105.800000	0.270000	0.820000	1.190000	4.770000	-0.090000	-0.090000	4.732000	95.600000	155.900000	0.070000	158.200000	101.000000	
12/20/2017	04:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.500000	12.400000	8.530000	-104.900000	0.250000	0.760000	1.070000	4.300000	-0.090000	-0.090000	4.727000	96.100000	156.800000	0.070000	159.000000	102.000000	
12/20/2017	04:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.600000	12.420000	8.560000	-106.400000	0.270000	0.800000	0.910000	3.620000	-0.120000	-0.120000	4.725000	96.200000	156.900000	0.070000	159.200000	102.000000	
12/20/2017	05:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.500000	12.410000	8.550000	-106.100000	0.260000	0.780000	0.980000	3.910000	-0.090000	-0.090000	4.727000	96.300000	157.100000	0.070000	159.400000	102.000000	
12/20/2017	05:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.600000	12.420000	8.550000	-106.100000	0.270000	0.810000	1.090000	4.360000	-0.070000	-0.070000	4.721000	96.200000	157.000000	0.070000	159.300000	102.000000	
12/20/2017	05:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.400000	12.400000	8.540000	-105.800000	0.250000	0.750000	0.880000	3.510000	-0.120000	-0.120000	4.721000	96.100000	156.800000	0.070000	159.000000	102.000000	
12/20/2017	05:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.500000	12.400000	8.530000	-105.200000	0.260000	0.780000	0.860000	3.440000	-0.140000	-0.140000	4.719000	98.300000	160.400000	0.080000	162.700000	104.000000	
12/20/2017	06:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.500000	12.400000	8.540000	-105.500000	0.250000	0.750000	0.920000	3.680000	-0.110000	-0.110000	4.718000	96.200000	156.900000	0.070000	159.200000	102.000000	
12/20/2017	06:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.400000	12.400000	8.550000	-106.000000	0.250000	0.760000	1.020000	4.090000	-0.070000	-0.070000	4.713000	95.800000	156.400000	0.070000	158.600000	102.000000	
12/20/2017	06:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.300000	12.390000	8.540000	-105.800000	0.260000	0.780000	0.890000	3.560000	-0.100000	-0.100000	4.714000	96.000000	156.800000	0.070000	159.000000	102.000000	
12/20/2017	06:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.400000	12.400000	8.550000	-106.000000	0.260000	0.770000	1.050000	4.200000	-0.100000	-0.100000	4.712000	96.100000	156.800000	0.070000	159.100000	102.000000	
12/20/2017	07:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.400000	12.400000	8.550000	-106.100000	0.280000	0.840000	0.890000	3.540000	-0.100000	-0.100000	4.708000	96.200000	157.100000	0.070000	159.300000	102.000000	
12/20/2017	07:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.300000	12.390000	8.540000	-105.800000	0.250000	0.740000	1.020000	4.070000	-0.080000	-0.080000	4.708000	96.500000	157.500000	0.070000	159.800000	102.000000	
12/20/2017	07:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.300000	12.380000	8.530000	-105.000000	0.260000	0.790000	1.170000	4.670000	-0.100000	-0.100000	4.703000	99.600000	162.600000	0.080000	165.000000	106.000000	
12/20/2017	07:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.300000	12.390000	8.530000	-104.800000	0.270000	0.800000	1.010000	4.050000	-0.060000	-0.060000	4.700000	94.100000	153.600000	0.070000	155.800000	100.000000	
12/20/2017	08:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.400000	12.400000	8.550000	-105.900000	0.260000	0.780000	1.250000	5.010000	-0.060000	-0.060000	4.698000	96.200000	157.100000	0.070000	159.300000	102.000000	
12/20/2017	08:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.300000	12.400000	8.550000	-106.000000	0.270000	0.800000	1.370000	5.490000	-0.060000	-0.060000	4.693000	97.300000	159.000000	0.080000	161.300000	103.000000	
12/20/2017	08:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.200000	12.380000	8.530000	-105.200000	0.280000	0.850000	0.950000	3.810000	-0.120000	-0.120000	4.696000	96.000000	156.800000	0.070000	159.000000	102.000000	
12/20/2017	08:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.400000	12.390000	8.550000	-106.000000	0.270000	0.800000	0.920000	3.680000	-0.130000	-0.130000	4.703000	96.200000	157.100000	0.070000	159.400000	102.000000	
12/20/2017	09:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.300000	12.380000	8.540000	-105.400000	0.260000	0.790000	1.770000	7.070000	-0.030000	-0.030000	4.709000	95.300000	155.700000	0.070000	157.900000	101.000000	
12/20/2017	09:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.200000	12.380000	8.520000	-104.700000	0.260000	0.790000	1.340000	5.360000	-0.100000	-0.100000	4.712000	94.900000	155.000000	0.070000	157.200000	101.000000	
12/20/2017	09:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.500000	12.410000	8.550000	-106.100000	0.270000	0.810000	0.940000	3.760000	-0.120000	-0.120000	4.724000	96.100000	156.800000	0.070000	159.000000	102.000000	
12/20/2017	09:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.430000	8.550000	-106.400000	0.270000	0.800000	0.630000	2.520000	-0.150000	-0.150000	4.732000	96.400000	157.300000	0.070000	159.600000	102.000000	
12/20/2017	10:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.600000	12.420000	8.550000	-106.300000	0.270000	0.800000	0.810000	3.230000	-0.130000	-0.130000	4.744000	95.800000	156.300000	0.070000	158.500000	102.000000	
12/20/2017	10:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.430000	8.550000	-106.300000	0.270000	0.820000	0.990000	3.970000	-0.090000	-0.090000	4.749000	99.500000	162.300000	0.080000	164.700000	106.000000	
12/20/2017	10:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.600000	12.420000	8.550000	-106.400000	0.270000	0.800000	1.070000	4.260000	-0.120000	-0.120000	4.747000	97.400000	158.800000	0.070000	161.100000	103.000000	
12/20/2017	10:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.420000	8.550000	-106.300000	0.270000	0.810000	0.920000	3.660000	-0.140000	-0.140000	4.741000	96.000000	156.600000	0.070000	158.800000	102.000000	
12/20/2017	11:00:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.420000	8.560000	-106.500000	0.250000	0.760000	0.930000	3.740000	-0.120000	-0.120000	4.741000	96.100000	156.700000	0.070000	158.900000	102.000000	
12/20/2017	11:15:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.420000	8.560000	-106.400000	0.260000	0.770000	1.020000	4.100000	-0.110000	-0.110000	4.743000	98.700000	161.100000	0.080000	163.400000	105.000000	
12/20/2017	11:30:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.700000	12.430000	8.560000	-106.600000	0.280000	0.830000	0.840000	3.360000	-0.110000	-0.110000	4.740000	99.800000	162.800000	0.080000	165.100000	106.000000	
12/20/2017	11:45:00	0.000	Deployment Site	00000000	5.800000	11.600000	96.600000	12.420000	8.550000	-106.000000	0.260000	0.790000	0.850000	3.390000	-0.100000	-0.100000	4.738000	96.600000	157.600000	0.070000	159.800000	102.000000	
